unique_id,beschrijvende_id,volledige_naam,Ident_8,lve_nr,Kmp_Rsys,Rijstrook,X_EPSG_31370,Y_EPSG_31370,Lon_EPSG_4326,Lat_EPSG_4326
3683,H292L20,Halve snede kmpt. 99.7,A0140001,494,99.7,R11,148413.851,211351.9373,4.346047502,51.21212238
3684,H292L30,Halve snede kmpt. 99.7,A0140001,494,99.7,R12,148413.851,211351.9373,4.346047502,51.21212238
1022,H292L10,complex Merelbeke-ring (7) (noordzijde),R0040001,125,28.569,R10,107992.8293,188844.8765,3.770216166,51.829544
2353,H192L30,E313 Spitsstrook kmpt. 1,270,A0130001,367,1.28,R12,156484.7675,211349.4979,4.461557951,51.21206555
1021,H291L20,complex Merelbeke-ring (7) (noordzijde),R0040002,125,28.496,R11,108039.4965,188821.8927,3.770883708,51.809222
2352,H192L20,E313 Spitsstrook kmpt. 1,270,A0130001,367,1.28,R11,156484.7675,211349.4979,4.461557951,51.21206555
1020,H291L10,complex Merelbeke-ring (7) (noordzijde),R0040002,125,28.496,R10,108039.4965,188821.8927,3.770883708,51.809222
2351,H192L10,E313 Spitsstrook kmpt. 1,270,A0130001,367,1.28,R10,156484.7675,211349.4979,4.461557951,51.21206555
2350,H192L00,E313 Spitsstrook kmpt. 1,270,A0130001,367,1.28,R09,156484.7675,211349.4979,4.461557951,51.21206555
1019,S205L10,complex Melle (6),R0040861,124,0.7,R10,109475.8683,189147.6549,3.791312834,51.111225
1018,H107L10,complex Melle (6),R0040821,124,0.57,R10,109250.4655,188964.9287,3.788121463,51.946423
2349,H192L40,E313 Spitsstrook kmpt. 0,750,A0130001,366,0.747,R13,156172.5335,211764.9469,4.457096834,51.21580322
1017,H106L10,complex Melle (6),R0040851,124,0.327,R10,109178.5179,189099.8429,3.787081295,51.1067189
2348,H192L30,E313 Spitsstrook kmpt. 0,750,A0130001,366,0.747,R12,156172.5335,211764.9469,4.457096834,51.21580322
1016,H108L10,complex Melle (6),R0040811,124,0.91,R10,109282.5709,189087.7503,3.78856525,51.105705
2347,H192L20,E313 Spitsstrook kmpt. 0,750,A0130001,366,0.747,R11,156172.5335,211764.9469,4.457096834,51.21580322
1015,H191L20,complex Melle (6),R0040002,124,27.286,R11,109240.9739,188979.7601,3.787984574,51.959688
2346,H192L10,E313 Spitsstrook kmpt. 0,750,A0130001,366,0.747,R10,156172.5335,211764.9469,4.457096834,51.21580322
1014,H191L10,complex Melle (6),R0040002,124,27.286,R10,109240.9739,188979.7601,3.787984574,51.959688
2345,H192L00,E313 Spitsstrook kmpt. 0,750,A0130001,366,0.747,R09,156172.5335,211764.9469,4.457096834,51.21580322
1013,H192L20,complex Melle (6),R0040001,124,27.289,R11,109234.3609,188990.143,3.787889208,51.968858
